Country,Pop,X,Y,GHI,SolarRestriction,WindVel,TravelHours,NightLights,Elevation,Slope,LandCover,GridDistCurrent,GridDistPlan,SubstationDist,RoadDist,HydropowerDist,Hydropower,HydropowerFID,X_deg,Y_deg,RoadDistClassified,SubstationDistClassified,LandCoverClassified,ElevationClassified,SlopeClassified,GridClassification,GridPenalty,WindCF,PopStartCalibrated,IsUrban,PopFuture,ElecStart,NewConnections
Benin,140580.7031,262.98641969999994,712.6239013999998,2058,0.0,0.0,0.0,17,0.0,0.0,16.0,2.24109602,2.24109602,46.80293274,1.594476104,36.43932724,4223.689941,14215,2.362447203323812,6.431025896483014,5,1,5,5,5,4.640000000000001,1.2106516233894706,0.0,176224.14046866787,1,294636.8027758898,1,118412.66230722194
Benin,9118.241211,272.98641969999994,712.6239013999998,2049,0.0,0.0,0.0,7,0.0,0.0,0.0,3.299242973,3.299242973,40.67961502,8.942956924,34.17544937,4223.689941,14215,2.4522787317357637,6.431025896483014,4,1,1,5,5,3.0300000000000002,1.0461532799189008,0.0,11430.119387377428,1,19110.51359187858,1,7680.394204501154
Benin,14146.08398,282.98641969999994,712.6239013999998,2041,0.0,5.0,1.0,8,0.0,0.0,16.0,4.985331535,4.985331535,36.32007217,8.337220192,34.7577095,4223.689941,14215,2.542110260147716,6.431025896483014,4,1,5,5,5,4.59,1.2014704120581874,0.07743075958216943,17732.74308209867,1,29648.14418876266,1,11915.40110666399
Benin,129347.3203,292.98641969999994,712.6239013999998,2041,0.0,5.0,0.0,12,11.0,0.43568328,14.0,13.26990604,6.064488888,34.40151215,0.200493723,38.05568695,4223.689941,14215,2.631941788559668,6.431025896483014,5,1,5,5,5,4.640000000000001,1.2106516233894706,0.07743075958216943,162142.5973775271,1,271093.2586082716,1,108950.6612307445
Benin,24910.79102,302.98641969999994,712.6239013999998,2041,0.0,5.0,2.0,7,8.0,0.6765915159999999,14.0,21.55448151,13.06851482,35.32393646,7.081227303,43.45540619,4223.689941,14215,2.7217733169716203,6.431025896483014,4,1,5,5,5,4.59,1.2014704120581874,0.07743075958216943,31226.780341050307,1,52209.41181045456,1,20982.631469404256
Benin,49715.44531,182.9864197,722.6239013999998,2041,1.0,0.0,0.0,0,9.0,0.211340547,14.0,1.155468345,1.155468345,61.01381683,6.60658884,36.8337059,290.09899900000005,7616,1.643794976028195,6.520878129676723,4,1,5,5,5,4.59,1.2014704120581874,0.0,62320.5135881257,1,104196.3763995288,1,41875.8628114031
Benin,15928.49316,192.9864197,722.6239013999998,2041,1.0,5.0,3.0,0,11.0,0.105670638,14.0,2.106481075,2.106481075,69.20868683,4.914872169,27.71972656,290.09899900000005,7616,1.7336265044401469,6.520878129676723,5,1,5,5,5,4.640000000000001,1.2106516233894706,0.07743075958216943,19967.071967803062,1,33383.815802668505,1,13416.743834865443
Benin,40158.77344,202.9864197,722.6239013999998,2041,1.0,5.0,1.0,7,39.0,1.53821981,13.0,5.368771076,5.368771076,77.82672119,1.035031796,19.49473381,290.09899900000005,7616,1.823458032852099,6.520878129676723,5,1,3,5,5,3.86,1.1037024664341613,0.07743075958216943,50340.801942823455,1,84166.9756150403,1,33826.17367221684
Benin,18355.67578,212.9864197,722.6239013999998,2041,1.0,5.0,1.0,0,67.0,0.8518821,14.0,8.628173828,8.628173828,85.33362579,9.244260788,13.84579563,290.09899900000005,7616,1.9132895612640513,6.520878129676723,4,1,5,5,5,4.59,1.2014704120581874,0.07743075958216943,23009.65293046713,1,38470.839207305384,1,15461.186276838253
Benin,22688.05859,222.9864197,722.6239013999998,2049,1.0,0.0,1.0,0,38.0,3.273929358,14.0,11.8875761,11.8875761,75.80332947,13.30492878,14.2606945,290.09899900000005,7616,2.0031210896760037,6.520878129676723,3,1,5,5,5,4.540000000000001,1.1926712266563528,0.0,28440.48675074187,1,47550.886407180464,0,47550.886407180464
